name;frameTime;pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_LOGenergy;pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_LOGenergy_de;pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12];pcm_LOGenergy_de_de
'unknown';56.720000;3.115607e+01;-5.188774e+01;-1.114955e+01;3.193152e+01;-2.362398e+01;-1.067937e+01;7.631176e+00;-3.015380e+01;2.962068e+00;1.219055e+01;-1.480486e+01;-6.909955e+00;1.740773e+01;-4.110100e-01;-2.607890e+00;9.124460e-01;-1.818870e+00;-4.192811e+00;7.775797e-01;1.931149e+00;2.518291e+00;8.912813e+00;1.339555e+00;2.421471e+00;5.053827e+00;1.840198e-01;3.456634e-01;1.341283e-01;-1.829081e+00;-2.268505e+00;-4.866106e+00;-4.069659e+00;2.268613e-01;-2.035460e+00;4.101818e+00;1.621319e+00;4.255777e-01;-2.046001e+00;5.420197e-01
'unknown';56.730000;2.717930e+01;-5.170065e+01;-6.301689e+00;1.928526e+01;-2.374995e+01;-1.878179e+01;6.378229e+00;-5.454046e+00;1.568243e+01;1.097233e+01;-6.017561e-01;7.153439e+00;1.872721e+01;-1.490097e-01;-5.566986e-01;-1.278393e+00;-3.540411e+00;-7.542757e+00;-5.775204e+00;-6.676450e-02;-1.023048e+00;1.410417e+01;5.109979e+00;-1.859819e-01;-2.266170e+00;8.586344e-01;3.854392e-01;3.783152e-01;-2.326851e+00;-1.493845e+00;-2.780735e+00;-1.592788e+00;1.266796e+00;-2.551378e+00;3.902902e-01;1.456112e+00;-8.522263e-01;-3.710386e+00;3.283502e-01
'unknown';56.740000;3.087820e+01;-5.204672e+01;-1.140534e+01;2.067429e+01;-5.749995e+01;-3.519696e+01;7.179456e+00;-3.274832e+01;4.543919e+01;2.693226e+01;-7.068073e+00;-3.404511e-01;2.021493e+01;-1.570644e-01;-5.118915e-01;-3.986714e+00;-5.493577e+00;-9.939425e+00;-4.952794e+00;4.032765e+00;-1.493865e+00;7.646811e+00;4.387015e+00;3.866794e-01;-5.600089e+00;9.064194e-01;-3.591337e-02;9.363520e-01;-2.112193e+00;-1.610991e+00;2.225537e+00;2.601779e+00;1.698920e+00;7.423944e-01;-4.204684e+00;-6.160808e-01;-1.029288e+00;-2.641220e+00;8.951053e-03
'unknown';56.750000;2.879814e+01;-4.933455e+01;-1.583050e+01;1.061626e+01;-5.547792e+01;-4.077636e+01;7.778202e+00;-2.749920e+01;3.802546e+01;2.878913e+01;-1.071760e+01;-2.374711e+01;2.053139e+01;2.275648e-01;-6.296661e-01;-6.150799e+00;-5.497579e+00;-5.857536e+00;2.707927e+00;8.143311e+00;-2.965177e+00;1.363452e+00;4.387932e+00;-2.639365e+00;-9.480195e+00;6.288379e-01;-1.008077e-02;5.368913e-01;-1.486986e+00;-4.388171e-01;3.834466e+00;4.669071e+00;1.641966e+00;1.469520e+00;-5.362254e+00;-2.226591e+00;-5.379345e-01;1.173492e+00;-1.690551e-01
'unknown';56.760000;2.956133e+01;-5.563025e+01;-2.631871e+01;8.798139e+00;-5.745712e+01;-2.444605e+01;2.709501e+01;-2.660055e+01;3.002461e+01;2.521722e+01;-7.813536e+00;-1.946012e+01;2.103773e+01;-7.788641e-01;2.110353e+00;-7.212314e+00;-8.895243e+00;6.092261e+00;9.544906e+00;6.320712e+00;7.201327e+00;-5.740251e+00;-1.379826e+00;-1.498279e+00;-4.545262e+00;3.436733e-01;4.454846e-02;4.881333e-01;-5.136861e-01;8.930885e-01;3.340353e+00;2.782418e+00;-3.711380e-01;5.775312e-01;-3.800704e+00;-2.450247e+00;-2.457306e-01;3.517457e+00;-1.673768e-01
'unknown';56.770000;2.897556e+01;-5.305721e+01;-2.959900e+01;-2.264555e+00;-5.305904e+01;-1.061760e+01;3.713700e+01;-2.335382e+01;3.020698e+01;3.376950e+01;-1.342585e+01;-3.068770e+01;2.146000e+01;1.114862e-01;8.166355e-01;-7.100522e+00;-4.033663e+00;3.613734e+00;1.032130e+01;6.999094e+00;1.976954e+00;-6.013574e+00;-3.139555e+00;-1.933175e+00;3.073876e+00;2.947319e-01;7.084448e-02;-3.709173e-03;2.718206e-01;1.616277e+00;8.976030e-01;-7.590195e-01;-1.929395e+00;-7.419354e-01;-2.146011e+00;-2.003275e+00;9.958019e-01;4.475597e+00;-9.201811e-02
'unknown';56.780000;2.689517e+01;-3.963362e+01;-4.058266e+01;-1.736152e+01;-2.824809e+01;-2.551809e+00;2.410361e+01;1.185624e+00;2.064717e+01;1.754294e+01;-1.320534e+01;-1.959647e+01;2.146900e+01;1.237171e-01;1.205624e+00;-6.080283e+00;-1.760092e+00;2.026705e+00;5.152606e+00;2.749184e+00;-1.077275e+00;-7.668199e+00;-4.100476e+00;-1.195068e+00;5.710163e+00;2.365885e-01;1.419984e-01;-6.990186e-01;1.114165e+00;1.662811e+00;-1.785194e+00;-3.096186e+00;-1.743666e+00;-2.112038e+00;-1.495361e-01;-3.557653e-01;1.221616e+00;2.332958e+00;-3.142118e-02
'unknown';56.790000;3.068865e+01;-5.324969e+01;-4.420114e+01;3.527769e+00;-5.201377e+01;-1.169681e-01;4.426937e+01;-3.150751e+01;1.264631e+01;1.692850e+01;-1.768757e+01;-8.309560e+00;2.178942e+01;1.304966e-01;-1.958477e-01;-5.357711e+00;-9.837692e-01;6.632572e-01;1.108980e+00;2.821011e-01;-2.535553e+00;-8.402628e+00;-4.268118e+00;2.188039e+00;7.770079e+00;2.222898e-01;-1.544331e-01;3.628056e-02;1.657916e+00;-7.338301e-02;-9.308659e-01;-3.091126e+00;-1.558102e+00;4.692520e-01;1.097281e+00;4.757145e-01;1.252438e+00;-5.249214e-01;-1.860550e-02
'unknown';56.800000;2.932337e+01;-4.950589e+01;-4.941905e+01;-2.898484e+00;-4.784623e+01;-3.933340e+00;3.727475e+01;-2.791007e+01;4.639532e-01;1.313534e+01;-1.165802e+01;-2.098381e+00;2.205596e+01;-7.837715e-02;-8.784984e-01;-2.512896e+00;-2.106137e+00;-1.358469e+00;-1.329866e+00;9.608784e-01;-1.102612e+00;-5.293405e+00;-2.594371e+00;2.549192e+00;4.771423e+00;2.227884e-01;-5.984848e-02;3.951505e-01;1.761747e+00;-1.432620e-01;-1.222186e+00;-1.665175e+00;-1.729792e-01;1.704453e+00;2.306081e+00;1.262981e+00;5.197778e-01;-2.159748e+00;-1.632330e-02
'unknown';56.810000;2.841394e+01;-4.910032e+01;-5.196936e+01;-1.441492e+01;-3.994369e+01;-4.381939e+00;3.196194e+01;-2.148374e+01;-1.714548e+00;1.463271e+01;-3.259319e+00;-5.863467e-01;2.227796e+01;-5.596321e-01;2.040100e+00;-5.946366e-01;-4.227556e+00;6.519920e-01;-1.893091e+00;1.027363e-01;4.335883e+00;-1.714566e+00;-1.514035e+00;2.456885e+00;9.186387e-01;2.086044e-01;1.897958e-01;7.338217e-01;1.376269e+00;8.173497e-01;-1.818200e+00;-3.237208e-01;3.924102e-01;1.014262e+00;2.933590e+00;1.233368e+00;-3.647685e-01;-2.583872e+00;-2.989761e-02
'unknown';56.820000;2.764064e+01;-4.610080e+01;-4.926303e+01;-1.892086e+01;-4.107547e+01;-7.068652e+00;3.506172e+01;-9.339324e+00;1.360577e+00;5.718978e+00;-7.673511e+00;3.990439e-01;2.233867e+01;1.695391e-01;2.063403e+00;3.469151e-01;-8.545088e-01;-4.078592e+00;-1.672233e+00;1.973970e+00;4.009270e+00;5.181772e-01;8.373889e-01;1.269397e+00;-1.662859e+00;1.618147e-01;4.193237e-01;5.198948e-01;6.687663e-01;1.415759e+00;-1.364448e+00;3.136738e-01;-5.571250e-02;-9.515818e-01;2.156122e+00;9.361891e-01;-2.676770e-01;-1.521576e+00;-4.795730e-02
'unknown';56.830000;2.873186e+01;-4.475174e+01;-4.725233e+01;-9.598823e+00;-5.213919e+01;-8.014766e+00;4.588957e+01;-1.911347e+01;3.625167e+00;1.306651e+01;-7.395400e+00;-4.965079e+00;2.269109e+01;9.555174e-01;2.002310e+00;9.372787e-02;2.477165e+00;-7.067682e+00;-3.384407e-01;1.737606e+00;-2.018442e-02;3.359532e+00;1.828407e-01;1.004094e+00;-1.932142e+00;1.032887e-01;3.677246e-01;-2.819776e-01;5.395613e-01;7.474183e-01;1.202193e-01;2.807900e-01;-7.452056e-01;-2.389808e+00;7.120566e-01;5.090793e-01;-5.614050e-02;-1.785933e-01;-6.243894e-02
'unknown';56.840000;3.001211e+01;-4.136317e+01;-5.004299e+01;-9.579075e+00;-6.214144e+01;-1.047809e+01;4.018079e+01;-9.048855e+00;3.849819e-01;1.810538e+01;-3.242991e+00;-8.223309e+00;2.265847e+01;1.260667e+00;1.739870e+00;4.867527e-01;1.620299e+00;-4.320870e+00;-5.388216e-01;-1.351192e-01;-3.682487e+00;2.950156e+00;1.238137e+00;1.937203e+00;-1.411064e+00;3.565979e-02;1.189914e-01;-7.268410e-01;6.764123e-01;-1.572639e-01;2.383588e+00;1.214593e-01;-1.242135e+00;-2.231684e+00;-6.634513e-01;4.242057e-01;1.503017e-01;5.815309e-01;-5.307949e-02
'unknown';56.850000;3.200579e+01;-4.145758e+01;-5.111074e+01;-6.699983e+00;-6.474911e+01;-4.369423e+00;3.809044e+01;-2.172989e+01;1.557091e+01;9.353713e+00;-4.541102e-01;-5.935880e+00;2.263450e+01;7.334269e-01;7.919781e-01;2.033251e+00;-1.727869e+00;1.374228e+00;-1.055846e+00;-2.568747e+00;-3.767279e+00;6.297275e-01;8.309882e-01;1.842280e+00;-1.002251e-01;-4.051285e-02;-8.050881e-02;-9.341242e-01;7.542752e-01;8.236077e-02;2.683994e+00;-2.568345e-01;-1.236606e+00;-1.034276e+00;-1.857739e+00;9.302498e-01;-1.171786e-01;-8.127838e-02;-3.773851e-02
'unknown';56.860000;3.230700e+01;-3.904853e+01;-4.490006e+01;-1.226878e+01;-5.637486e+01;-1.158543e+01;3.828569e+01;-2.644355e+01;1.013848e+01;1.376606e+01;-1.458142e+00;-6.170877e+00;2.254526e+01;8.755415e-01;-9.656357e-01;2.759215e+00;4.616887e-01;3.618394e+00;-7.062337e-01;-2.083530e+00;-5.275601e+00;-1.434177e+00;2.634344e+00;1.601812e+00;3.288375e-01;-3.168201e-02;2.662374e-02;-7.473312e-01;3.128272e-01;1.396225e+00;7.879772e-01;4.949064e-02;-7.628061e-01;-3.591236e-01;-8.478107e-01;3.127881e-01;-9.263700e-01;-4.591571e-01;-3.373390e-02
